Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,79571000000.0,36206000000.0,43365000000.0,8107000000.0,2590000000.0,2.07,2.06,20161000000.0,211338000000.0,141682000000.0,69656000000.0,111792000000.0,4507000000.0,-520000000.0,16781000000.0,-17301000000.0,1255376769.0,,,,,,,,,,,,,,,,,
2023-12-31,78558000000.0,30188000000.0,48370000000.0,14241000000.0,8317000000.0,7.02,6.93,27152000000.0,207682000000.0,142967000000.0,64715000000.0,113086000000.0,5135000000.0,7748000000.0,18559000000.0,-10811000000.0,1200286264.0,-1.2730768747407977,-16.621554438490858,11.541565778853915,75.66300727766128,221.11969111969114,239.1304347826087,236.40776699029124,34.67585933237439,-1.7299302539060653,0.9069606583757992,-7.0934305731021015,1.1575067983397738,13.933880630130908,1590.0,10.595316131339013,37.51228252702156,-4.388364223426218
2024-12-31,81400000000.0,29653000000.0,51747000000.0,18010000000.0,11339000000.0,9.7,9.66,31042000000.0,208035000000.0,146294000000.0,61741000000.0,113944000000.0,5409000000.0,9982000000.0,22293000000.0,-12311000000.0,1173213898.0,3.617709208482904,-1.7722273751159403,6.981600165391772,26.465838073169017,36.33521702536973,38.17663817663817,39.393939393939405,14.326753093694755,0.16997139858052213,2.3271104520623638,-4.595534265626207,0.7587146065826008,5.335929892891919,28.833247289623127,20.119618513928554,-13.874757191749143,-2.2554924447589944
2025-12-31,88309000000.0,32774000000.0,55535000000.0,18557000000.0,10992000000.0,9.75,9.72,31563000000.0,219237000000.0,160034000000.0,59203000000.0,122269000000.0,5598000000.0,15427000000.0,27950000000.0,-12523000000.0,1131076251.0,8.487714987714988,10.525073348396452,7.320231124509633,3.037201554691838,-3.060234588588059,0.5154639175257806,0.6211180124223654,1.6783712389665615,5.384670848655274,9.392046153635828,-4.1107205908553475,7.306220599592781,3.494176372712146,54.548186736125025,25.375678464091866,-1.7220372025018276,-3.5916423315333077
