Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_QoQ_pct,TotalRevenue_YoY_pct,CostOfRevenue_QoQ_pct,CostOfRevenue_YoY_pct,GrossProfit_QoQ_pct,GrossProfit_YoY_pct,OperatingIncome_QoQ_pct,OperatingIncome_YoY_pct,NetIncome_QoQ_pct,NetIncome_YoY_pct,BasicEPS_QoQ_pct,BasicEPS_YoY_pct,DilutedEPS_QoQ_pct,DilutedEPS_YoY_pct,EBITDA_QoQ_pct,EBITDA_YoY_pct,TotalAssets_QoQ_pct,TotalAssets_YoY_pct,TotalLiabilitiesNetMinorityInterest_QoQ_pct,TotalLiabilitiesNetMinorityInterest_YoY_pct,TotalEquityGrossMinorityInterest_QoQ_pct,TotalEquityGrossMinorityInterest_YoY_pct,TotalDebt_QoQ_pct,TotalDebt_YoY_pct,CashAndCashEquivalents_QoQ_pct,CashAndCashEquivalents_YoY_pct,FreeCashFlow_QoQ_pct,FreeCashFlow_YoY_pct,OperatingCashFlow_QoQ_pct,OperatingCashFlow_YoY_pct,CapitalExpenditure_QoQ_pct,CapitalExpenditure_YoY_pct,DilutedAverageShares_QoQ_pct,DilutedAverageShares_YoY_pct
2025-05-31,2515000000.0,1248400000.0,1266600000.0,765900000.0,516100000.0,2.9,2.9,817200000.0,22262700000.0,14730600000.0,7532100000.0,11567000000.0,73900000.0,444400000.0,637200000.0,-192800000.0,177991000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-31,2481000000.0,1171000000.0,1310000000.0,874000000.0,466000000.0,2.65,2.65,974600000.0,21419400000.0,13633100000.0,7786300000.0,10544900000.0,72000000.0,634800000.0,852100000.0,-217300000.0,175938000.0,-1.3518886679920477,,-6.199935917975008,,3.4264961313753353,,14.114114114114114,,-9.707421042433637,,-8.620689655172415,,-8.620689655172415,,19.26089084679393,,-3.787950248622135,,-7.450477237858608,,3.3748888092298297,,-8.836344773925823,,-2.571041948579161,,42.84428442844285,,33.725674827369744,,-12.707468879668049,,-1.153429105966032,
2025-11-30,2222800000.0,1039600000.0,1183200000.0,692000000.0,502800000.0,2.88,2.88,817900000.0,21683400000.0,13683100000.0,8000300000.0,10663800000.0,152400000.0,370900000.0,616900000.0,-246000000.0,174614000.0,-10.407093913744458,,-11.221178479931684,,-9.679389312977099,,-20.823798627002287,,7.896995708154507,,8.679245283018867,,8.679245283018867,,-16.078391134824543,,1.2325275217793217,,0.3667544432300797,,2.7484170915582498,,1.127559294066326,,111.66666666666667,,-41.572148708254566,,-27.602394085201265,,-13.20754716981132,,-0.7525378258250065,
2026-02-28,1920200000.0,968500000.0,951700000.0,531200000.0,201800000.0,1.16,1.16,548400000.0,21900500000.0,13513600000.0,8386900000.0,11202600000.0,102400000.0,343900000.0,562800000.0,-218900000.0,173679000.0,-13.61346050026993,,-6.839168911119661,,-19.565584854631506,,-23.23699421965318,,-59.864757358790776,,-59.72222222222222,,-59.72222222222222,,-32.950238415454216,,1.0012267448831826,,-1.2387543758358852,,4.832318788045448,,5.05260788837,,-32.808398950131235,,-7.279590186033971,,-8.769654725239098,,11.016260162601627,,-0.5354668010583344,
2026-05-31,2432700000.0,1112100000.0,1320600000.0,863600000.0,653800000.0,3.8,3.79,945300000.0,22108700000.0,13558900000.0,8549800000.0,10533800000.0,96600000.0,484600000.0,661800000.0,-177200000.0,172407000.0,26.6899281324862,-3.2723658051689863,14.827052142488384,-10.917975008010252,38.762214983713356,4.263382283278068,62.575301204819276,12.756234495364929,223.98414271555995,26.68087579926371,227.5862068965517,31.034482758620683,226.72413793103448,30.6896551724138,72.3741794310722,15.67547723935389,0.9506632268669666,-0.6917399955980182,0.3352178546057305,-7.954190596445494,1.9423148004626263,13.511504095803295,-5.970042668666203,-8.932307426298953,-5.6640625,30.717185385656293,40.91305612096539,9.045904590459045,17.590618336886994,3.8606403013182673,19.049794426678847,8.091286307053942,-0.7323856079318743,-3.1372372760420473
