Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_QoQ_pct,TotalRevenue_YoY_pct,CostOfRevenue_QoQ_pct,CostOfRevenue_YoY_pct,GrossProfit_QoQ_pct,GrossProfit_YoY_pct,OperatingIncome_QoQ_pct,OperatingIncome_YoY_pct,NetIncome_QoQ_pct,NetIncome_YoY_pct,BasicEPS_QoQ_pct,BasicEPS_YoY_pct,DilutedEPS_QoQ_pct,DilutedEPS_YoY_pct,EBITDA_QoQ_pct,EBITDA_YoY_pct,TotalAssets_QoQ_pct,TotalAssets_YoY_pct,TotalLiabilitiesNetMinorityInterest_QoQ_pct,TotalLiabilitiesNetMinorityInterest_YoY_pct,TotalEquityGrossMinorityInterest_QoQ_pct,TotalEquityGrossMinorityInterest_YoY_pct,TotalDebt_QoQ_pct,TotalDebt_YoY_pct,CashAndCashEquivalents_QoQ_pct,CashAndCashEquivalents_YoY_pct,FreeCashFlow_QoQ_pct,FreeCashFlow_YoY_pct,OperatingCashFlow_QoQ_pct,OperatingCashFlow_YoY_pct,CapitalExpenditure_QoQ_pct,CapitalExpenditure_YoY_pct,DilutedAverageShares_QoQ_pct,DilutedAverageShares_YoY_pct
2025-06-30,512316000.0,128677000.0,383639000.0,-67264000.0,-50446000.0,-0.15,-0.15,-284000.0,5562361000.0,4322634000.0,1239727000.0,3462113000.0,1518608000.0,33280000.0,99796000.0,-66516000.0,347489000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,562027000.0,146316000.0,415711000.0,-37460000.0,-1290000.0,0.0,0.0,54230000.0,5786395000.0,4439379000.0,1347016000.0,3501751000.0,1052644000.0,74971000.0,167123000.0,-92152000.0,349312000.0,9.703190999305116,,13.707966458652285,,8.35994255015783,,44.30899143672693,,97.44281013360822,,100.0,,100.0,,19195.070422535213,,4.027678174789447,,2.7007838276384257,,8.654244039211859,,1.1449077485339156,,-30.683626057547436,,125.2734375,,67.46462784079522,,-38.54110289253713,,0.5246209232522469,
2025-12-31,614507000.0,161956000.0,452551000.0,-49234000.0,-12077000.0,-0.03,-0.03,44965000.0,6036256000.0,4577133000.0,1459123000.0,3518327000.0,943536000.0,99444000.0,190411000.0,-90967000.0,351087000.0,9.337629686829992,,10.689193252959349,,8.861925712814912,,-31.430859583555794,,-836.201550387597,,,,,,-17.0846394984326,,4.318077144750747,,3.103001568462616,,8.322618291096765,,0.4733631831617954,,-10.365137691375242,,32.64328873831215,,13.93464693668735,,1.2859189165726193,,0.5081417185782338,
2026-03-31,639755000.0,184158000.0,455597000.0,-61994000.0,-22927000.0,-0.07,-0.07,38976000.0,6163977000.0,4637269000.0,1526708000.0,3524536000.0,932226000.0,84074000.0,158330000.0,-74256000.0,352625000.0,4.1086594619752095,,13.708661611795797,,0.673073311074332,,-25.91704919364667,,-89.84019210068726,,-133.33333333333337,,-133.33333333333337,,-13.319248304236627,,2.1158976690186764,,1.3138355385347116,,4.631891896707817,,0.17647592165253542,,-1.1986824032151395,,-15.455934998592172,,-16.848291327706907,,18.37039805643805,,0.4380680572051942,
2026-06-30,696061000.0,196544000.0,499517000.0,-55003000.0,-169981000.0,-0.48,-0.48,-99495000.0,6474127000.0,4854107000.0,1620020000.0,3529350000.0,1663773000.0,56384000.0,117564000.0,-61180000.0,354334000.0,8.801181702370439,35.86555953747297,6.725746369964922,52.7421372894923,9.640098595908226,30.204958307158552,11.27689776429977,18.228175547098,-641.4009682906617,-236.95634936367603,-585.7142857142856,-219.99999999999997,-585.7142857142856,-219.99999999999997,-355.27247536945816,-34933.45070422535,5.031654076580753,16.391708484940118,4.675984938548961,12.295119133380249,6.111974260958874,30.675543889904795,0.13658535478145206,1.942079880119453,78.4731384878774,9.559083055008271,-32.93527130860908,69.42307692307692,-25.74748942082991,17.8043208144615,17.609351432880846,8.022130013831259,0.4846508330379298,1.9698465275159789
