Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,31877000000.0,19659000000.0,12218000000.0,-1832000000.0,-9141000000.0,-4.64,-4.65,-7914000000.0,32109000000.0,23605000000.0,8504000000.0,11139000000.0,4208000000.0,390000000.0,642000000.0,-252000000.0,1974928000.0,,,,,,,,,,,,,,,,,
2023-12-31,37281000000.0,22457000000.0,14824000000.0,1110000000.0,1887000000.0,0.93,0.87,3777000000.0,38699000000.0,26017000000.0,12682000000.0,11224000000.0,4680000000.0,3362000000.0,3585000000.0,-223000000.0,2091782000.0,16.952661793769803,14.232666971870389,21.329186446226878,160.58951965065503,120.6432556613062,120.04310344827587,118.70967741935483,147.72554965883245,20.52384066772556,10.218174115653463,49.129821260583256,0.7630846575096508,11.216730038022813,762.051282051282,458.411214953271,11.507936507936508,5.916873931606621
2024-12-31,43978000000.0,26651000000.0,17327000000.0,2799000000.0,9856000000.0,4.71,4.56,5385000000.0,51244000000.0,28768000000.0,22476000000.0,11126000000.0,5893000000.0,6895000000.0,7137000000.0,-242000000.0,2150508000.0,17.963573938467317,18.67569132119161,16.884781435509986,152.16216216216216,422.3105458399576,406.4516129032258,424.13793103448273,42.57347100873709,32.416858316752375,10.573855555982627,77.2275666298691,-0.8731290092658588,25.91880341880342,105.08625817965496,99.07949790794979,-8.520179372197308,2.8074627279515743
2025-12-31,52017000000.0,31338000000.0,20679000000.0,5565000000.0,10053000000.0,4.82,4.73,6987000000.0,61802000000.0,33719000000.0,28083000000.0,12080000000.0,7105000000.0,9763000000.0,10099000000.0,-336000000.0,2119689000.0,18.279594342625856,17.586582116993736,19.345530097535637,98.82100750267952,1.9987824675324677,2.3354564755838707,3.728070175438615,29.749303621169915,20.603387713683553,17.210094549499445,24.9466097170315,8.574510156390437,20.566774138808753,41.59535895576505,41.50203166596609,-38.84297520661157,-1.4331032481627597
