Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2023-03-31,8438700000.0,2740800000.0,5697900000.0,3112000000.0,2237700000.0,4.07,4.02,4102500000.0,16370300000.0,9856700000.0,6513600000.0,6471400000.0,234000000.0,3134800000.0,3621000000.0,-486200000.0,557300000.0,,,,,,,,,,,,,,,,,
2024-03-31,7634400000.0,2638700000.0,4995700000.0,2558700000.0,1906900000.0,3.52,3.48,3436400000.0,15873200000.0,9215400000.0,6657800000.0,6032400000.0,319700000.0,2607600000.0,2892700000.0,-285100000.0,548000000.0,-9.53108891179921,-3.7251897256275543,-12.323838607206165,-17.779562982005142,-14.783036153193011,-13.51351351351352,-13.432835820895514,-16.236441194393663,-3.0365967636512465,-6.506234338064464,2.2138295259150085,-6.7836944092468405,36.62393162393162,-16.817659818808217,-20.11322838994753,41.36157959687372,-1.668760093307016
2025-03-31,4401600000.0,1933700000.0,2467900000.0,375500000.0,-500000.0,-0.01,-0.01,1040400000.0,15374600000.0,8296300000.0,7078300000.0,5666100000.0,771700000.0,772100000.0,898100000.0,-126000000.0,537300000.0,-42.345174473436025,-26.71770189866222,-50.599515583401725,-85.32457888771641,-100.02622056741308,-100.28409090909089,-100.28735632183907,-69.72412990338727,-3.1411435627346727,-9.973522581765305,6.31590014719577,-6.072210065645514,141.38254613700346,-70.39039730019941,-68.9528813910879,55.804980708523324,-1.9525547445255476
2026-03-31,4713100000.0,1992000000.0,2721100000.0,529800000.0,230000000.0,0.22,0.22,1178200000.0,14370100000.0,7937700000.0,6432400000.0,5535200000.0,240300000.0,871000000.0,962100000.0,-91100000.0,545200000.0,7.0769720101781175,3.014945441381807,10.259734997366182,41.0918774966711,46100.0,2300.0,2300.0,13.244905805459439,-6.533503310655236,-4.322408784638935,-9.125072404390885,-2.31023102310231,-68.86095633018013,12.809221603419246,7.1261552165683115,27.6984126984127,1.4703145356411687
