Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_QoQ_pct,TotalRevenue_YoY_pct,CostOfRevenue_QoQ_pct,CostOfRevenue_YoY_pct,GrossProfit_QoQ_pct,GrossProfit_YoY_pct,OperatingIncome_QoQ_pct,OperatingIncome_YoY_pct,NetIncome_QoQ_pct,NetIncome_YoY_pct,BasicEPS_QoQ_pct,BasicEPS_YoY_pct,DilutedEPS_QoQ_pct,DilutedEPS_YoY_pct,EBITDA_QoQ_pct,EBITDA_YoY_pct,TotalAssets_QoQ_pct,TotalAssets_YoY_pct,TotalLiabilitiesNetMinorityInterest_QoQ_pct,TotalLiabilitiesNetMinorityInterest_YoY_pct,TotalEquityGrossMinorityInterest_QoQ_pct,TotalEquityGrossMinorityInterest_YoY_pct,TotalDebt_QoQ_pct,TotalDebt_YoY_pct,CashAndCashEquivalents_QoQ_pct,CashAndCashEquivalents_YoY_pct,FreeCashFlow_QoQ_pct,FreeCashFlow_YoY_pct,OperatingCashFlow_QoQ_pct,OperatingCashFlow_YoY_pct,CapitalExpenditure_QoQ_pct,CapitalExpenditure_YoY_pct,DilutedAverageShares_QoQ_pct,DilutedAverageShares_YoY_pct
2025-06-30,8643000000.0,6362000000.0,2281000000.0,1108000000.0,890000000.0,6.46,6.43,1591000000.0,34259000000.0,21386000000.0,12873000000.0,8684000000.0,2319000000.0,554000000.0,785000000.0,-231000000.0,138500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,8317000000.0,6188000000.0,2129000000.0,962000000.0,536000000.0,3.88,3.86,1190000000.0,33638000000.0,20540000000.0,13098000000.0,8182000000.0,2566000000.0,1007000000.0,1305000000.0,-298000000.0,138800000.0,-3.7718384820085618,,-2.734988997170701,,-6.6637439719421305,,-13.176895306859207,,-39.7752808988764,,-39.93808049535604,,-39.968895800933126,,-25.204274041483345,,-1.812662366093581,,-3.9558589731600113,,1.7478443253320906,,-5.780746199907877,,10.651142733937041,,81.76895306859205,,66.2420382165605,,-29.004329004329005,,0.21660649819494585,
2025-12-31,8536000000.0,6585000000.0,1951000000.0,781000000.0,593000000.0,4.29,4.27,1153000000.0,33992000000.0,20584000000.0,13408000000.0,8114000000.0,2845000000.0,990000000.0,1534000000.0,-544000000.0,139000000.0,2.6331609955512807,,6.415643180349062,,-8.360732738374823,,-18.814968814968815,,10.634328358208956,,10.567010309278354,,10.62176165803108,,-3.1092436974789917,,1.0523812355074618,,0.2142161635832522,,2.366773553214231,,-0.8310926423857248,,10.872954014029618,,-1.6881827209533267,,17.547892720306514,,-82.5503355704698,,0.1440922190201729,
2026-03-31,8398000000.0,6155000000.0,2243000000.0,1000000000.0,654000000.0,4.73,4.71,1292000000.0,34445000000.0,21073000000.0,13372000000.0,8240000000.0,2614000000.0,120000000.0,309000000.0,-189000000.0,138800000.0,-1.6166822867853796,,-6.529992406985572,,14.96668375192209,,28.040973111395644,,10.286677908937605,,10.256410256410266,,10.304449648711953,,12.055507372072853,,1.332666509767004,,2.375631558492033,,-0.26849642004773266,,1.5528715799852106,,-8.119507908611599,,-87.87878787878788,,-79.85658409387223,,65.25735294117648,,-0.14388489208633093,
2026-06-30,9457000000.0,6992000000.0,2465000000.0,1125000000.0,932000000.0,6.76,6.73,1654000000.0,35630000000.0,21724000000.0,13906000000.0,8286000000.0,3179000000.0,1250000000.0,1499000000.0,-249000000.0,138500000.0,12.610145272683972,9.418026148328126,13.598700243704306,9.90254636906633,9.897458760588497,8.06663743971942,12.5,1.5342960288808665,42.50764525993883,4.719101123595506,42.91754756871034,4.643962848297211,42.88747346072188,4.665629860031116,28.01857585139319,3.9597737272155875,3.44026709246625,4.0018681222452495,3.089261139847198,1.5804732067707845,3.9934190846545015,8.024547502524664,0.558252427184466,-4.583141409488714,21.614384085692425,37.084950409659335,941.6666666666666,125.6317689530686,385.1132686084143,90.95541401273886,-31.746031746031743,-7.792207792207792,-0.21613832853025938,0.0
