Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,176383000000.0,159632000000.0,16751000000.0,15751000000.0,11528000000.0,29.05,29.04,18342000000.0,60982000000.0,35514000000.0,25468000000.0,12722000000.0,4862000000.0,10893000000.0,12574000000.0,-1681000000.0,396000000.0,,,,,,,,,,,,,,,,,
2023-12-31,144766000000.0,131877000000.0,12889000000.0,11858000000.0,8835000000.0,24.93,24.92,15061000000.0,63056000000.0,34532000000.0,28524000000.0,12637000000.0,5424000000.0,8318000000.0,9229000000.0,-911000000.0,353000000.0,-17.92519687271449,-17.386864789014734,-23.055339979702705,-24.715891054536222,-23.36051353226926,-14.182444061962137,-14.18732782369145,-17.88790753462,3.4010035748253586,-2.7651067184772202,11.999371760640804,-0.6681339412042132,11.559029206088029,-23.639034242173874,-26.60251312231589,45.80606781677573,-10.85858585858586
2024-12-31,129881000000.0,125121000000.0,4760000000.0,3755000000.0,2770000000.0,8.58,8.58,7028000000.0,60143000000.0,32622000000.0,27521000000.0,11540000000.0,4657000000.0,5776000000.0,6683000000.0,-907000000.0,322000000.0,-10.282110440296755,-5.122955481243887,-63.06928388548375,-68.33361443751053,-68.64742501414828,-65.58363417569194,-65.56982343499197,-53.33643184383507,-4.61970312103527,-5.5311015869338584,-3.516337119618567,-8.680857798528132,-14.140855457227138,-30.560230824717483,-27.58695416621519,0.43907793633369924,-8.78186968838527
2025-12-31,122687000000.0,117318000000.0,5369000000.0,4312000000.0,2348000000.0,7.57,7.57,6719000000.0,57988000000.0,31383000000.0,26605000000.0,11703000000.0,4688000000.0,5030000000.0,5826000000.0,-796000000.0,309000000.0,-5.5389163926979315,-6.236363200421992,12.794117647058822,14.833555259653794,-15.234657039711191,-11.77156177156177,-11.77156177156177,-4.3966989186112695,-3.5831268809337744,-3.798050395438661,-3.328367428509139,1.4124783362218372,0.6656645909383724,-12.91551246537396,-12.823582223552297,12.238147739801542,-4.037267080745342
