Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_QoQ_pct,TotalRevenue_YoY_pct,CostOfRevenue_QoQ_pct,CostOfRevenue_YoY_pct,GrossProfit_QoQ_pct,GrossProfit_YoY_pct,OperatingIncome_QoQ_pct,OperatingIncome_YoY_pct,NetIncome_QoQ_pct,NetIncome_YoY_pct,BasicEPS_QoQ_pct,BasicEPS_YoY_pct,DilutedEPS_QoQ_pct,DilutedEPS_YoY_pct,EBITDA_QoQ_pct,EBITDA_YoY_pct,TotalAssets_QoQ_pct,TotalAssets_YoY_pct,TotalLiabilitiesNetMinorityInterest_QoQ_pct,TotalLiabilitiesNetMinorityInterest_YoY_pct,TotalEquityGrossMinorityInterest_QoQ_pct,TotalEquityGrossMinorityInterest_YoY_pct,TotalDebt_QoQ_pct,TotalDebt_YoY_pct,CashAndCashEquivalents_QoQ_pct,CashAndCashEquivalents_YoY_pct,FreeCashFlow_QoQ_pct,FreeCashFlow_YoY_pct,OperatingCashFlow_QoQ_pct,OperatingCashFlow_YoY_pct,CapitalExpenditure_QoQ_pct,CapitalExpenditure_YoY_pct,DilutedAverageShares_QoQ_pct,DilutedAverageShares_YoY_pct
2025-06-30,6085000000.0,1912000000.0,4173000000.0,1387000000.0,619000000.0,0.63,0.63,2613000000.0,71134000000.0,52757000000.0,18377000000.0,37559000000.0,510000000.0,1184000000.0,1947000000.0,-763000000.0,930900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,6049000000.0,1765000000.0,4284000000.0,1453000000.0,4540000000.0,4.84,4.84,6816000000.0,78583000000.0,55825000000.0,22758000000.0,40975000000.0,465000000.0,1020000000.0,1914000000.0,-894000000.0,932500000.0,-0.5916187345932621,,-7.688284518828452,,2.659956865564342,,4.758471521268925,,633.4410339256866,,668.2539682539683,,668.2539682539683,,160.849598163031,,10.471785643995839,,5.815342039918874,,23.839582086303533,,9.09502382917543,,-8.823529411764707,,-13.85135135135135,,-1.694915254237288,,-17.169069462647442,,0.1718766784831883,
2025-12-31,6404000000.0,2153000000.0,4251000000.0,1294000000.0,630000000.0,0.64,0.64,2656000000.0,80165000000.0,56855000000.0,23310000000.0,41059000000.0,320000000.0,244000000.0,1561000000.0,-1317000000.0,928125000.0,5.868738634485038,,21.98300283286119,,-0.7703081232492998,,-10.94287680660702,,-86.12334801762115,,-86.77685950413225,,-86.77685950413225,,-61.03286384976526,,2.0131580621762977,,1.845051500223914,,2.4255206960189826,,0.2050030506406345,,-31.182795698924732,,-76.07843137254902,,-18.443051201671892,,-47.31543624161073,,-0.4691689008042895,
2026-03-31,6168000000.0,1955000000.0,4213000000.0,1275000000.0,653000000.0,0.66,0.66,2706000000.0,81377000000.0,57724000000.0,23653000000.0,42960000000.0,1376000000.0,308000000.0,1149000000.0,-841000000.0,932500000.0,-3.685196752029981,,-9.196470041802137,,-0.8939073159256645,,-1.4683153013910355,,3.650793650793651,,3.1250000000000027,,3.1250000000000027,,1.8825301204819278,,1.5118817439031995,,1.528449564682086,,1.4714714714714714,,4.629922794028106,,330.0,,26.229508196721312,,-26.393337604099937,,36.14274867122248,,0.47138047138047134,
2026-06-30,6176000000.0,1894000000.0,4282000000.0,1326000000.0,597000000.0,0.6,0.6,2738000000.0,81042000000.0,56864000000.0,24178000000.0,41776000000.0,479000000.0,1082000000.0,2162000000.0,-1080000000.0,932500000.0,0.12970168612191957,1.495480690221857,-3.1202046035805626,-0.9414225941422595,1.6377877996676953,2.6120297148334535,4.0,-4.397981254506128,-8.575803981623277,-3.5541195476575123,-9.090909090909099,-4.761904761904765,-9.090909090909099,-4.761904761904765,1.1825572801182558,4.783773440489859,-0.41166422945058184,13.928641718446874,-1.4898482433649782,7.784748943268192,2.2195915951464933,31.5666322032976,-2.7560521415270016,11.227668468276578,-65.18895348837209,-6.078431372549019,251.2987012987013,-8.614864864864865,88.16362053959965,11.042629686697483,-28.418549346016647,-41.54652686762779,0.0,0.1718766784831883
