Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,1727684000.0,530907000.0,1196777000.0,572243000.0,125976000.0,0.16,0.16,776127000.0,17826122000.0,8086280000.0,9739842000.0,7271565000.0,146970000.0,861114000.0,861114000.0,,617858000.0,,,,,,,,,,,,,,,,,
2023-12-31,1783400000.0,556718000.0,1226682000.0,582610000.0,654273000.0,1.02,1.02,1401380000.0,18274022000.0,8548287000.0,9725735000.0,7726781000.0,780518000.0,1071607000.0,1071607000.0,,618199000.0,3.2248952933522563,4.8616801059319235,2.4987946793763585,1.8116429558771363,419.3632120403887,537.5,537.5,80.56065566588974,2.5126048166841897,5.7134677503128755,-0.1448380784821766,6.2602204614825006,431.0730080968905,24.444266380525693,24.444266380525693,,0.055190674879988605
2024-12-31,2037014000.0,637653000.0,1399361000.0,657536000.0,410785000.0,0.55,0.55,1262699000.0,20309896000.0,9464107000.0,10845789000.0,8578337000.0,688622000.0,1005621000.0,1005621000.0,,672136000.0,14.22081417517102,14.537880937925484,14.076916429848973,12.860404043871544,-37.215046318585664,-46.07843137254902,-46.07843137254902,-9.896031055102828,11.14080961487296,10.713491486656917,11.516394390758128,11.020837784842097,-11.77371950422668,-6.157667876376321,-6.157667876376321,,8.72486044137891
2025-12-31,2140116000.0,662334000.0,1477782000.0,717677000.0,584741000.0,0.82,0.82,1450921000.0,19688250000.0,9120372000.0,10567878000.0,8305981000.0,211648000.0,1120015000.0,1120015000.0,,675279000.0,5.061428149241979,3.8706004676524692,5.604057852119646,9.146419359548375,42.34721326241221,49.090909090909065,49.090909090909065,14.906323676505645,-3.0608034625091136,-3.631985563984008,-2.562386194310068,-3.174927727833495,-69.26499589034333,11.375458547504477,11.375458547504477,,0.46761369722794194
