Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_QoQ_pct,TotalRevenue_YoY_pct,CostOfRevenue_QoQ_pct,CostOfRevenue_YoY_pct,GrossProfit_QoQ_pct,GrossProfit_YoY_pct,OperatingIncome_QoQ_pct,OperatingIncome_YoY_pct,NetIncome_QoQ_pct,NetIncome_YoY_pct,BasicEPS_QoQ_pct,BasicEPS_YoY_pct,DilutedEPS_QoQ_pct,DilutedEPS_YoY_pct,EBITDA_QoQ_pct,EBITDA_YoY_pct,TotalAssets_QoQ_pct,TotalAssets_YoY_pct,TotalLiabilitiesNetMinorityInterest_QoQ_pct,TotalLiabilitiesNetMinorityInterest_YoY_pct,TotalEquityGrossMinorityInterest_QoQ_pct,TotalEquityGrossMinorityInterest_YoY_pct,TotalDebt_QoQ_pct,TotalDebt_YoY_pct,CashAndCashEquivalents_QoQ_pct,CashAndCashEquivalents_YoY_pct,FreeCashFlow_QoQ_pct,FreeCashFlow_YoY_pct,OperatingCashFlow_QoQ_pct,OperatingCashFlow_YoY_pct,CapitalExpenditure_QoQ_pct,CapitalExpenditure_YoY_pct,DilutedAverageShares_QoQ_pct,DilutedAverageShares_YoY_pct
2025-03-31,6644000000.0,4820000000.0,1824000000.0,571000000.0,322000000.0,,,829000000.0,,,,,,584000000.0,682000000.0,-98000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,,,,,,0.416354,0.416354,862000000.0,,,,,,87000000.0,197000000.0,-110000000.0,799799804.0,,,,,,,,,,,,,,,3.9806996381182147,,,,,,,,,,,,-85.1027397260274,,-71.11436950146629,,-12.244897959183673,,,
2025-09-30,,,,,,0.176184,0.176184,,,,,,,,,,1827634640.0,,,,,,,,,,,-57.684086138238136,,-57.684086138238136,,,,,,,,,,,,,,,,,,,,128.51151386378686,
2025-12-31,7787000000.0,5873000000.0,1914000000.0,425000000.0,182000000.0,-0.01,-0.01,633000000.0,38484000000.0,19198000000.0,19286000000.0,12627000000.0,1939000000.0,91000000.0,229000000.0,-138000000.0,810000000.0,,,,,,,,,,,-105.67588430277436,,-105.67588430277436,,,,,,,,,,,,,,,,,,,,-55.68041980206723,
2026-03-31,7352000000.0,5511000000.0,1841000000.0,422000000.0,129000000.0,0.16,0.16,710000000.0,39014000000.0,19665000000.0,19349000000.0,12637000000.0,2236000000.0,316000000.0,412000000.0,-96000000.0,824836037.0,-5.586233466033132,10.65623118603251,-6.1638004427038995,14.33609958506224,-3.8140020898641587,0.9320175438596491,-0.7058823529411765,-26.09457092819615,-29.120879120879124,-59.93788819875776,1700.0,,1700.0,,12.164296998420221,-14.354644149577805,1.3771957177008627,,2.432545056776748,,0.3266618272321891,,0.07919537499010057,,15.317173800928312,,247.25274725274727,-45.89041095890411,79.91266375545851,-39.589442815249264,30.434782608695656,2.0408163265306123,1.8316095061728395,
2026-06-30,7685000000.0,5470000000.0,2215000000.0,395000000.0,60000000.0,0.07,0.07,659000000.0,39350000000.0,20273000000.0,19077000000.0,12640000000.0,2327000000.0,604000000.0,715000000.0,-111000000.0,861000000.0,4.529379760609358,,-0.7439666122300853,,20.315046170559476,,-6.398104265402843,,-53.48837209302325,,-56.25,-83.18738381281314,-56.25,-83.18738381281314,-7.183098591549296,-23.54988399071926,0.8612293023017378,,3.0917874396135265,,-1.4057574034833842,,0.0237398116641608,,4.069767441860465,,91.13924050632912,594.2528735632184,73.54368932038835,262.94416243654825,-15.625,-0.9090909090909091,4.3843820320377205,7.651939359565034
