Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_QoQ_pct,TotalRevenue_YoY_pct,CostOfRevenue_QoQ_pct,CostOfRevenue_YoY_pct,GrossProfit_QoQ_pct,GrossProfit_YoY_pct,OperatingIncome_QoQ_pct,OperatingIncome_YoY_pct,NetIncome_QoQ_pct,NetIncome_YoY_pct,BasicEPS_QoQ_pct,BasicEPS_YoY_pct,DilutedEPS_QoQ_pct,DilutedEPS_YoY_pct,EBITDA_QoQ_pct,EBITDA_YoY_pct,TotalAssets_QoQ_pct,TotalAssets_YoY_pct,TotalLiabilitiesNetMinorityInterest_QoQ_pct,TotalLiabilitiesNetMinorityInterest_YoY_pct,TotalEquityGrossMinorityInterest_QoQ_pct,TotalEquityGrossMinorityInterest_YoY_pct,TotalDebt_QoQ_pct,TotalDebt_YoY_pct,CashAndCashEquivalents_QoQ_pct,CashAndCashEquivalents_YoY_pct,FreeCashFlow_QoQ_pct,FreeCashFlow_YoY_pct,OperatingCashFlow_QoQ_pct,OperatingCashFlow_YoY_pct,CapitalExpenditure_QoQ_pct,CapitalExpenditure_YoY_pct,DilutedAverageShares_QoQ_pct,DilutedAverageShares_YoY_pct
2025-06-30,30313000000.0,7576000000.0,22737000000.0,5993000000.0,11123000000.0,3.007882,2.98,19906000000.0,273850000000.0,176392000000.0,97458000000.0,101528000000.0,9687000000.0,4502000000.0,7815000000.0,-3313000000.0,3727000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,31198000000.0,8655000000.0,22543000000.0,5533000000.0,3332000000.0,0.911749,0.9,9616000000.0,272995000000.0,175359000000.0,97636000000.0,99063000000.0,9325000000.0,4945000000.0,8693000000.0,-3748000000.0,3689000000.0,2.919539471513872,,14.242344244984158,,-0.8532348154989664,,-7.675621558484899,,-70.04405286343612,,-69.68800637790977,,-69.79865771812081,,-51.692956897417865,,-0.31221471608544826,,-0.5856274660982357,,0.1826427794537134,,-2.42790166259554,,-3.736967069268091,,9.840071079520213,,11.234804862444019,,-13.13009357078177,,-1.0195867990340757,
2025-12-31,32310000000.0,10305000000.0,22005000000.0,3486000000.0,2168000000.0,0.601518,0.6,7473000000.0,272631000000.0,175255000000.0,97376000000.0,98937000000.0,9481000000.0,4368000000.0,8841000000.0,-4473000000.0,3636000000.0,3.5643310468619784,,19.064124783362217,,-2.3865501486048886,,-36.99620459063799,,-34.93397358943577,,-34.02592160781092,,-33.333333333333336,,-22.28577371048253,,-0.13333577538050148,,-0.059306907543952694,,-0.26629521897660696,,-0.12719178704460798,,1.6729222520107236,,-11.66835187057634,,1.702519268376855,,-19.34364994663821,,-1.4367037137435619,
2026-03-31,31457000000.0,10884000000.0,20573000000.0,4135000000.0,2174000000.0,0.6,0.6,7693000000.0,260002000000.0,171462000000.0,88540000000.0,94612000000.0,9468000000.0,3901000000.0,6891000000.0,-2990000000.0,3617000000.0,-2.6400495202723615,,5.618631732168851,,-6.507611906384912,,18.61732644865175,,0.27675276752767525,,-0.2523615253408908,,0.0,,2.9439314866854005,,-4.632268524122349,,-2.164274913697184,,-9.07410450213605,,-4.371468712412949,,-0.13711633793903596,,-10.691391941391942,,-22.05632846963013,,33.1544824502571,,-0.5225522552255226,
2026-06-30,29940000000.0,8389000000.0,21551000000.0,5160000000.0,3526000000.0,0.99,0.99,9352000000.0,257548000000.0,167593000000.0,89955000000.0,90381000000.0,7661000000.0,4603000000.0,8092000000.0,-3489000000.0,3570000000.0,-4.822456051117398,-1.2304951670900275,-22.923557515619258,10.731256599788805,4.753803528897098,-5.216167480318424,24.78839177750907,-13.899549474386784,62.189512419503224,-68.29991908657736,65.0,-67.08647480187055,65.0,-66.77852348993288,21.56505914467698,-53.01919019391138,-0.9438388935469727,-5.952893920029213,-2.256476653719192,-4.988321465826115,1.5981477298396205,-7.698700978883211,-4.471948590030863,-10.97923725474746,-19.085340092944655,-20.91462785176009,17.9953857985132,2.243447356730342,17.42852996662313,3.544465770953295,-16.68896321070234,-5.312405674615152,-1.299419408349461,-4.212503353903944
