Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_QoQ_pct,TotalRevenue_YoY_pct,CostOfRevenue_QoQ_pct,CostOfRevenue_YoY_pct,GrossProfit_QoQ_pct,GrossProfit_YoY_pct,OperatingIncome_QoQ_pct,OperatingIncome_YoY_pct,NetIncome_QoQ_pct,NetIncome_YoY_pct,BasicEPS_QoQ_pct,BasicEPS_YoY_pct,DilutedEPS_QoQ_pct,DilutedEPS_YoY_pct,EBITDA_QoQ_pct,EBITDA_YoY_pct,TotalAssets_QoQ_pct,TotalAssets_YoY_pct,TotalLiabilitiesNetMinorityInterest_QoQ_pct,TotalLiabilitiesNetMinorityInterest_YoY_pct,TotalEquityGrossMinorityInterest_QoQ_pct,TotalEquityGrossMinorityInterest_YoY_pct,TotalDebt_QoQ_pct,TotalDebt_YoY_pct,CashAndCashEquivalents_QoQ_pct,CashAndCashEquivalents_YoY_pct,FreeCashFlow_QoQ_pct,FreeCashFlow_YoY_pct,OperatingCashFlow_QoQ_pct,OperatingCashFlow_YoY_pct,CapitalExpenditure_QoQ_pct,CapitalExpenditure_YoY_pct,DilutedAverageShares_QoQ_pct,DilutedAverageShares_YoY_pct
2025-06-30,22726000000.0,10304000000.0,12422000000.0,3649000000.0,1263000000.0,0.92,0.92,2808000000.0,105345000000.0,86786000000.0,18559000000.0,51384000000.0,7631000000.0,1065000000.0,1969000000.0,-904000000.0,1373000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,23937000000.0,11113000000.0,12824000000.0,3702000000.0,2603000000.0,1.9,1.9,4593000000.0,106558000000.0,87015000000.0,19543000000.0,50849000000.0,8126000000.0,3480000000.0,4472000000.0,-992000000.0,1372000000.0,5.328698407110799,,7.851319875776397,,3.236193849621639,,1.4524527267744587,,106.09659540775931,,106.52173913043477,,106.52173913043477,,63.56837606837607,,1.1514547439365892,,0.26386744405779733,,5.302009806562854,,-1.041180133893819,,6.486698990957934,,226.7605633802817,,127.1203656678517,,-9.734513274336283,,-0.07283321194464676,
2025-12-31,29343000000.0,13723000000.0,15620000000.0,3557000000.0,2540000000.0,1.857621,1.85,4707000000.0,107399000000.0,86852000000.0,20547000000.0,49901000000.0,9159000000.0,4703000000.0,6619000000.0,-1916000000.0,1371000000.0,22.58428374483018,,23.48600737874561,,21.802869619463504,,-3.916801728795246,,-2.4202842873607375,,-2.2304736842105233,,-2.631578947368412,,2.4820378837361203,,0.7892415398186904,,-0.1873240245934609,,5.137389346569104,,-1.8643434482487362,,12.712281565345803,,35.14367816091954,,48.00983899821109,,-93.14516129032258,,-0.0728862973760933,
2026-03-31,19443000000.0,8712000000.0,10731000000.0,3213000000.0,2327000000.0,1.7,1.7,4175000000.0,110646000000.0,89110000000.0,21536000000.0,52728000000.0,10475000000.0,-406000000.0,41000000.0,-447000000.0,1371000000.0,-33.7388815049586,,-36.51533921154267,,-31.299615877080665,,-9.671071127354512,,-8.385826771653543,,-8.485100028477284,,-8.108108108108116,,-11.302315700021245,,3.023305617370739,,2.5998249896375443,,4.813354747651726,,5.665217129917236,,14.368380827601266,,-108.6327875823942,,-99.3805710832452,,76.67014613778706,,0.0,
2026-06-30,24181000000.0,11070000000.0,13111000000.0,4023000000.0,2981000000.0,2.18,2.18,5164000000.0,112189000000.0,89919000000.0,22270000000.0,53214000000.0,10251000000.0,1505000000.0,2324000000.0,-819000000.0,1369000000.0,24.368667386720155,6.4023585320777965,27.066115702479337,7.434006211180125,22.17873450750163,5.5466108517147,25.210084033613445,10.249383392710332,28.104856037816933,136.02533650039587,28.23529411764707,136.95652173913044,28.23529411764707,136.95652173913044,23.688622754491018,83.9031339031339,1.3945375341178172,6.496748777825241,0.9078666816294467,3.610029267393358,3.4082466567607725,19.995689422921494,0.9217114246700046,3.5614198972442788,-2.1384248210023866,34.33363910365614,470.6896551724138,41.31455399061033,5568.292682926829,18.02945657694261,-83.22147651006712,9.402654867256636,-0.14587892049598833,-0.29133284777858703
