Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,50582000000.0,39985000000.0,10597000000.0,3661000000.0,1318000000.0,2.07,2.06,5050000000.0,72288000000.0,65706000000.0,6582000000.0,30610000000.0,3266000000.0,-3000000.0,6363000000.0,-6366000000.0,641000000.0,,,,,,,,,,,,,,,,,
2023-12-31,58048000000.0,43913000000.0,14135000000.0,5521000000.0,4609000000.0,7.21,7.17,8783000000.0,73644000000.0,62539000000.0,11105000000.0,27281000000.0,2741000000.0,1141000000.0,6464000000.0,-5323000000.0,643000000.0,14.760191372424975,9.823683881455546,33.38680758705294,50.80579076754985,249.69650986342944,248.30917874396138,248.0582524271844,73.92079207920791,1.8758300132802126,-4.819955559614039,68.71771498024917,-10.875530872263967,-16.074709124311084,38133.33333333333,1.5873015873015872,16.383914546025764,0.31201248049922
2024-12-31,61643000000.0,46475000000.0,15168000000.0,5995000000.0,3457000000.0,5.39,5.33,7918000000.0,75372000000.0,60079000000.0,15293000000.0,22771000000.0,3069000000.0,2885000000.0,8025000000.0,-5140000000.0,648000000.0,6.193150496141125,5.834263202240794,7.308100459851433,8.585401195435608,-24.994575829898025,-25.24271844660195,-25.662482566248258,-9.848571103267677,2.3464233338764866,-3.9335454676282002,37.712742008104456,-16.53165206554012,11.96643560744254,152.84837861524977,24.14913366336634,3.437910952470411,0.7776049766718507
2025-12-31,63364000000.0,48052000000.0,15312000000.0,5822000000.0,5005000000.0,7.72,7.66,9307000000.0,81317000000.0,60464000000.0,20853000000.0,20274000000.0,4310000000.0,3843000000.0,8342000000.0,-4499000000.0,654000000.0,2.7918822899599305,3.3932221624529317,0.949367088607595,-2.885738115095913,44.77870986404397,43.22820037105752,43.71482176360225,17.54230866380399,7.8875444462134485,0.6408229164932838,36.35650297521742,-10.965701989372448,40.43662430759205,33.20623916811092,3.950155763239875,12.470817120622568,0.9259259259259258
