Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_QoQ_pct,TotalRevenue_YoY_pct,CostOfRevenue_QoQ_pct,CostOfRevenue_YoY_pct,GrossProfit_QoQ_pct,GrossProfit_YoY_pct,OperatingIncome_QoQ_pct,OperatingIncome_YoY_pct,NetIncome_QoQ_pct,NetIncome_YoY_pct,BasicEPS_QoQ_pct,BasicEPS_YoY_pct,DilutedEPS_QoQ_pct,DilutedEPS_YoY_pct,EBITDA_QoQ_pct,EBITDA_YoY_pct,TotalAssets_QoQ_pct,TotalAssets_YoY_pct,TotalLiabilitiesNetMinorityInterest_QoQ_pct,TotalLiabilitiesNetMinorityInterest_YoY_pct,TotalEquityGrossMinorityInterest_QoQ_pct,TotalEquityGrossMinorityInterest_YoY_pct,TotalDebt_QoQ_pct,TotalDebt_YoY_pct,CashAndCashEquivalents_QoQ_pct,CashAndCashEquivalents_YoY_pct,FreeCashFlow_QoQ_pct,FreeCashFlow_YoY_pct,OperatingCashFlow_QoQ_pct,OperatingCashFlow_YoY_pct,CapitalExpenditure_QoQ_pct,CapitalExpenditure_YoY_pct,DilutedAverageShares_QoQ_pct,DilutedAverageShares_YoY_pct
2025-06-30,29889000000.0,28668000000.0,1221000000.0,997000000.0,714000000.0,2.28,2.28,1897000000.0,59433000000.0,32486000000.0,26947000000.0,10647000000.0,4537000000.0,786000000.0,936000000.0,-150000000.0,312000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,32168000000.0,30408000000.0,1760000000.0,1509000000.0,1095000000.0,3.54,3.53,2431000000.0,58615000000.0,31869000000.0,26746000000.0,10581000000.0,4764000000.0,1704000000.0,1881000000.0,-177000000.0,309000000.0,7.624878717922982,,6.0694851402260355,,44.14414414414414,,51.35406218655968,,53.36134453781513,,55.26315789473686,,54.824561403508774,,28.149710068529256,,-1.376339743913314,,-1.8992796897124915,,-0.7459086354696255,,-0.6198929275852353,,5.003306149437955,,116.79389312977099,,100.96153846153845,,-18.0,,-0.9615384615384616,
2025-12-31,30372000000.0,28480000000.0,1892000000.0,1575000000.0,1134000000.0,3.73,3.73,2480000000.0,57988000000.0,31383000000.0,26605000000.0,11703000000.0,4688000000.0,1837000000.0,2057000000.0,-220000000.0,303000000.0,-5.583188261626461,,-6.3404367271770585,,7.5,,4.3737574552683895,,3.5616438356164384,,5.367231638418078,,5.665722379603405,,2.0156314273961335,,-1.0696920583468394,,-1.5249929398475006,,-0.5271816346369551,,10.603912673660334,,-1.595298068849706,,7.805164319248827,,9.35672514619883,,-24.293785310734464,,-1.9417475728155338,
2026-03-31,32381000000.0,30341000000.0,2040000000.0,1731000000.0,1263000000.0,4.22,4.22,2703000000.0,62142000000.0,35208000000.0,26934000000.0,11491000000.0,5733000000.0,1225000000.0,1390000000.0,-165000000.0,298000000.0,6.614645067825629,,6.534410112359551,,7.822410147991543,,9.904761904761905,,11.375661375661375,,13.136729222520103,,13.136729222520103,,8.991935483870968,,7.163551079533696,,12.188127330083166,,1.2366096598383762,,-1.811501324446723,,22.290955631399317,,-33.31518780620577,,-32.42586290714633,,25.0,,-1.65016501650165,
2026-06-30,44476000000.0,39021000000.0,5455000000.0,5196000000.0,3720000000.0,12.62,12.62,6049000000.0,64663000000.0,36395000000.0,28268000000.0,11349000000.0,7874000000.0,5354000000.0,5580000000.0,-226000000.0,294000000.0,37.352150952719185,48.80390779216434,28.608153983059225,36.11343658434492,167.40196078431373,346.7649467649468,200.17331022530328,421.16349047141426,194.53681710213777,421.00840336134456,199.05213270142178,453.50877192982455,199.05213270142178,453.50877192982455,123.78838327783943,218.87190300474435,4.056837565575617,8.799825013039895,3.371392865257896,12.032875700301668,4.95284770178956,4.902215459976992,-1.235749717169959,6.593406593406594,37.34519448805163,73.55080449636323,337.0612244897959,581.1704834605598,301.4388489208633,496.1538461538462,-36.96969696969697,-50.66666666666667,-1.342281879194631,-5.769230769230769
