Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,15396000000.0,9003000000.0,6393000000.0,3817000000.0,1680000000.0,3.33,3.32,6331000000.0,55655000000.0,45563000000.0,10092000000.0,36746000000.0,463000000.0,1371000000.0,4493000000.0,-3122000000.0,506024096.0,,,,,,,,,,,,,,,,,
2023-12-31,19308000000.0,10727000000.0,8581000000.0,4460000000.0,849000000.0,1.62,1.62,7611000000.0,69282000000.0,58842000000.0,10440000000.0,45198000000.0,800000000.0,1105000000.0,5221000000.0,-4116000000.0,524074074.0,25.409197194076384,19.149172498056203,34.224933521038636,16.845690332722032,-49.464285714285715,-51.35135135135135,-51.20481927710843,20.217975043437058,24.48477225765879,29.1442617913658,3.4482758620689653,23.001142981549012,72.78617710583153,-19.40189642596645,16.202982417093256,-31.838565022421523,3.567019464622491
2024-12-31,20604000000.0,10987000000.0,9617000000.0,5003000000.0,1734000000.0,3.25,3.2,9108000000.0,71411000000.0,61008000000.0,10403000000.0,47633000000.0,898000000.0,1508000000.0,5680000000.0,-4172000000.0,541875000.0,6.712243629583591,2.423790435350051,12.07318494347978,12.174887892376681,104.24028268551237,100.61728395061726,97.53086419753086,19.66890027591644,3.072948240524234,3.6810441521362294,-0.3544061302681992,5.387406522412496,12.25,36.470588235294116,8.791419268339398,-1.3605442176870748,3.396643124155003
2025-12-31,21712000000.0,11892000000.0,9820000000.0,5018000000.0,6894000000.0,12.77,12.74,14585000000.0,90012000000.0,65726000000.0,24286000000.0,44176000000.0,1344000000.0,2091000000.0,6059000000.0,-3968000000.0,541130298.0,5.377596583187731,8.23700737234914,2.1108453779764997,0.2998201079352389,297.57785467128025,292.9230769230769,298.125,60.13394817742643,26.047807760709134,7.73341201153947,133.4518888782082,-7.25757353095543,49.665924276169264,38.660477453580896,6.672535211267605,4.88974113135187,-0.1374305882352941
