Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,94588000.0,240813000.0,-146225000.0,-324202000.0,-388955000.0,-4.33,-4.33,-331985000.0,1014775000.0,1122675000.0,-107900000.0,750300000.0,65582000.0,-310851000.0,-299516000.0,-11335000.0,89825000.0,,,,,,,,,,,,,,,,,
2023-12-31,7530000.0,330123000.0,-322593000.0,-496205000.0,-526244000.0,-5.45,-5.45,-456684000.0,824316000.0,1210639000.0,-386323000.0,755771000.0,113024000.0,-415749000.0,-414333000.0,-1416000.0,96524000.0,-92.0391593013913,37.08686823385781,-120.61412207214907,-53.05426863498683,-35.29688524379427,-25.86605080831409,-25.86605080831409,-37.561636820940706,-18.76859402330566,7.8352149998886595,-258.0379981464319,0.7291749966679995,72.33997133359763,-33.74542787380449,-38.334179142349655,87.50771945302162,7.457834678541609
2024-12-31,18474000.0,339408000.0,-320934000.0,-536248000.0,-589526000.0,-5.26,-5.26,-493483000.0,1401673000.0,1537045000.0,-135372000.0,788677000.0,94857000.0,-399796000.0,-395890000.0,-3906000.0,111979000.0,145.33864541832668,2.8125880353686354,0.514270303447378,-8.06985016273516,-12.025220240040742,3.486238532110099,3.486238532110099,-8.057869336346357,70.04073680481757,26.961464152402158,64.95885567258486,4.3539643622208315,-16.073577293318234,3.8371709853781972,4.4512505641597455,-175.84745762711864,16.011561891343085
2025-12-31,88039000.0,416026000.0,-327987000.0,-612258000.0,-784955000.0,-6.54,-6.54,-670962000.0,1424537000.0,2084162000.0,-659625000.0,1284243000.0,122518000.0,-534816000.0,-510009000.0,-24807000.0,120103000.0,376.5562412038541,22.57401121953519,-2.1976481145656113,-14.174411839298234,-33.15019184904482,-24.33460076045628,-24.33460076045628,-35.964562102443246,1.6311935808137847,35.59537944562456,-387.2684159205744,62.83510232959754,29.16073668785646,-33.77222383415542,-28.825936497511933,-535.099846390169,7.2549317282704795
