Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,21420100000.0,16758800000.0,4661300000.0,1438100000.0,860500000.0,15.820946,15.33,1610100000.0,14811700000.0,10362200000.0,4449500000.0,5926900000.0,527300000.0,-88400000.0,11000000.0,-99400000.0,52395000.0,,,,,,,,,,,,,,,,,
2023-12-31,22385200000.0,17541500000.0,4843700000.0,1406400000.0,765500000.0,13.912378,13.54,1562600000.0,15060900000.0,10029000000.0,5031900000.0,5963400000.0,524100000.0,400900000.0,493200000.0,-92300000.0,52300000.0,4.505581206436945,4.670382127598635,3.9130714607512926,-2.2042973367637853,-11.040092969203952,-12.063551699120893,-11.676451402478806,-2.950127321284392,1.6824537358979725,-3.2155333809422713,13.089111136082707,0.6158362719128043,-0.6068651621467855,553.5067873303167,4383.636363636364,7.142857142857142,-0.18131501097432962
2024-12-31,21818800000.0,17106200000.0,4712600000.0,1223200000.0,717600000.0,13.531296,13.05,1513200000.0,15061400000.0,10095900000.0,4965500000.0,5679800000.0,702600000.0,1006500000.0,1101200000.0,-94700000.0,50600000.0,-2.53024319639762,-2.4815437676367473,-2.7066085843466774,-13.026166097838454,-6.257348138471587,-2.7391578923459456,-3.618906942392899,-3.1613976705490847,0.003319854723157315,0.6670655100209393,-1.319581072755818,-4.75567629204816,34.05838580423583,151.0601147418309,123.2765612327656,-2.600216684723727,-3.2504780114722758
2025-12-31,23510900000.0,18538900000.0,4972000000.0,1233000000.0,640200000.0,13.272136,13.05,1470400000.0,16494900000.0,11468500000.0,5026400000.0,6533600000.0,604800000.0,25200000.0,125000000.0,-99800000.0,49500000.0,7.755238601572955,8.375325905227344,5.504392479735178,0.8011772400261609,-10.785953177257525,-1.9152636968402703,0.0,-2.828443034628602,9.517707517229473,13.595618023157915,1.2264625918839998,15.032219444346632,-13.919726729291204,-97.4962742175857,-88.6487468216491,-5.385427666314678,-2.1739130434782608
