Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,NetIncome,BasicEPS,DilutedEPS,EBITDA,TotalAssets,TotalLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,TotalDebt,CashAndCashEquivalents,FreeCashFlow,OperatingCashFlow,CapitalExpenditure,DilutedAverageShares,TotalRevenue_var_pct,CostOfRevenue_var_pct,GrossProfit_var_pct,OperatingIncome_var_pct,NetIncome_var_pct,BasicEPS_var_pct,DilutedEPS_var_pct,EBITDA_var_pct,TotalAssets_var_pct,TotalLiabilitiesNetMinorityInterest_var_pct,TotalEquityGrossMinorityInterest_var_pct,TotalDebt_var_pct,CashAndCashEquivalents_var_pct,FreeCashFlow_var_pct,OperatingCashFlow_var_pct,CapitalExpenditure_var_pct,DilutedAverageShares_var_pct
2022-12-31,2288032000.0,1215644000.0,1072388000.0,661187000.0,465237000.0,1.77,1.77,1010201000.0,15719107000.0,10341721000.0,5377386000.0,6836579000.0,11398000.0,-462457000.0,600306000.0,-1062763000.0,262868000.0,,,,,,,,,,,,,,,,,
2023-12-31,2053824000.0,927824000.0,1126000000.0,692097000.0,498226000.0,1.86,1.86,1058838000.0,16841459000.0,10945276000.0,5896183000.0,7088048000.0,4612000.0,-265516000.0,933587000.0,-1199103000.0,267659000.0,-10.236220472440944,-23.67633945464297,4.999309951248988,4.674925550562851,7.090794584265654,5.084745762711869,5.084745762711869,4.814586404091859,7.140049367944375,5.836117605570678,9.647754503768189,3.6782870497071705,-59.53676083523425,42.585797166006785,55.5185188887001,-12.828824488620699,1.8225877626793678
2024-12-31,2086113000.0,864259000.0,1221854000.0,757668000.0,595314000.0,2.17,2.17,1245497000.0,18026554000.0,11827745000.0,6198809000.0,7725177000.0,9156000.0,-559404000.0,770343000.0,-1329747000.0,274421000.0,1.572140553426194,-6.850976047181362,8.51278863232682,9.47424999674901,19.486738949793867,16.666666666666657,16.666666666666657,17.628664630472272,7.0367715766193415,8.06255593737426,5.132574752174415,8.98877942135832,98.52558542931483,-110.68560840024706,-17.485676214428864,-10.895144120229872,2.5263488244370635
2025-12-31,2474615000.0,1043421000.0,1431194000.0,920951000.0,616369000.0,2.2,2.2,1366366000.0,19464845000.0,12607389000.0,6857456000.0,8303736000.0,34778000.0,-419521000.0,1010459000.0,-1429980000.0,280619000.0,18.6232481174318,20.730128352727597,17.13297988139336,21.550731982873767,3.536788988668165,1.3824884792626844,1.3824884792626844,9.704479416650543,7.978735148159764,6.591653776776554,10.625379810863668,7.489265294503931,279.8383573612931,25.005720373826428,31.170011280689252,-7.537749662153778,2.258573505671942
